logged_date,symbol,chain,list,entry_mcap_k,entry_price_usd,price_now_usd,now_vs_entry,peak_vs_entry,peak_on_day,pair_url
2026-09-12,Hachiko,bsc,shortlist,1218,0.001287,0.001112,0.864,1.0,0,https://dexscreener.com/bsc/0xE6EDC555061D1D9Fe0145867b7eA7b07Da840898
2026-09-12,ODYS,arbitrum,shortlist,1381,0.001495,0.0006677,0.447,1.0,0,https://dexscreener.com/arbitrum/0x628854F0CFD7Debd6E04361421Ee9c06C77048c3
2026-09-12,PAIRZ,solana,pullback,615,0.000638,4.578e-06,0.007,1.0,0,https://dexscreener.com/solana/8XXnvNEMU3UoMRPWY2KJBW5z1T2KKj6vH9WYJfcGDqYQ
2026-09-12,STONKS,robinhood,shortlist,811,0.0008114,0.00017,0.21,1.0,0,https://dexscreener.com/robinhood/0x1b7d438a31ffa0602509208246d8db133e83e5197e709f9639fe0a2d8fd5c2fa
2026-09-12,USEFUL,solana,shortlist,1090,0.001089,0.000908,0.834,1.709,4,https://dexscreener.com/solana/FZuTAARDYJapX7HqniQEzzDboNY8RT4FXCrakVFJap2R
2026-09-12,牛梦,bsc,pullback,611,0.0006111,1.072e-05,0.018,1.011,2,https://dexscreener.com/bsc/0x33d2E1eeB4D399591C11ac9AD64863fa11678304
2026-09-14,YOYO,solana,pullback,1295.1,0.001296,0.0001871,0.144,1.0,0,https://dexscreener.com/solana/2eAX4Jgn81aaW7wGCoLc43NVrBcnswKKz7cmpE7unyqh
2026-09-15,BinanceTown,bsc,pullback,959.9,0.0009598,0.0,0.0,1.0,0,https://dexscreener.com/bsc/0xcEC13213c390d51121F82bA2ECafb8E11e0AF7a3
2026-09-15,MENSA,solana,shortlist,520.4,0.0005204,0.0004073,0.783,1.0,0,https://dexscreener.com/solana/E8RJG3srQBiSFMxDwrKG2DkwpWGyK7UYcFjkaTs9tbrS
2026-09-15,Machi,solana,shortlist,642.6,0.0007461,0.0005466,0.733,1.0,0,https://dexscreener.com/solana/7cmefCYxzK6yfBcmB4j234A3EKY2w13GfEdB3DJvNWzx
2026-09-16,CX,solana,shortlist,756.4,0.03138,0.03455,1.101,1.44,4,https://dexscreener.com/solana/AtK4fYMF1mFosQn6qRiMJoE1hsjpCFwpTy1TKpE5Ez6E
2026-09-16,Stonks,bsc,shortlist,678.4,0.0006783,0.0008632,1.273,14.934,9,https://dexscreener.com/bsc/0xDb6f1D044b8b2887a6C450D0D13176C81E3F936d
2026-09-16,pill,solana,pullback,1600.3,0.001656,0.002546,1.537,2.851,2,https://dexscreener.com/solana/Bof2XL9zAbLZ15kzAXcXy39wDeZFgKwyvb3UVkv3FhsX
2026-09-17,GRAMS,solana,shortlist,869.9,0.0008699,0.0003071,0.353,1.181,2,https://dexscreener.com/solana/FxeRAf7vpaHjH2pzPQhR5bdh85gMLni11k7izjwaJMAa
2026-09-19,Pepe,solana,shortlist,1501.1,0.001441,0.001207,0.838,1.23,1,https://dexscreener.com/solana/FCEnSxyJfRSKsz6tASUENCsfGwKgkH6YuRn1AMmyHhZn
2026-09-20,IF,robinhood,shortlist,1439.5,0.001602,0.0004941,0.308,4.645,4,https://dexscreener.com/robinhood/0x39A200271525E9641e799127bdAB299DAeF21953
2026-09-21,CALI,solana,pullback,1025.9,0.001035,0.003052,2.949,2.949,5,https://dexscreener.com/solana/2i2iULr7UwK1SDRB17T5FUtiMnFQL7fyy7rh69brZihc
2026-09-21,INU,solana,shortlist,1482.8,0.001482,0.0001588,0.107,1.0,0,https://dexscreener.com/solana/EqnkEMJN4mBWkjTWF5dqED31ax8SZm51suYHbe8PiWqJ
2026-09-21,MUSEWORLD,base,pullback,702.0,0.0007292,0.0006276,0.861,1.574,2,https://dexscreener.com/base/0x050e44afe314c0298d695f7e7b6bb4769475d7541a37da644950a59413460360
2026-09-21,WOOF,robinhood,shortlist,856.4,8.563e-07,3.112e-07,0.363,1.055,1,https://dexscreener.com/robinhood/0x2a004148BE6eFeE250420d93a1AC6393E32D2D60
2026-09-26,ARENA,solana,shortlist,564.9,0.0005695,0.0005695,1.0,1.0,0,https://dexscreener.com/solana/RbHYPnS9j1WYBsSsvorm9NXt8hLvsDV3YECZwGMV68T
2026-09-26,Holdoween,solana,pullback,1226.2,0.00126,0.00126,1.0,1.0,0,https://dexscreener.com/solana/Apy5FShcDSLdyYSH4HWgY8zSFj4At8FbKeHZF3D72e9k
2026-09-26,NPC,solana,pullback,1971.8,0.002131,0.002131,1.0,1.0,0,https://dexscreener.com/solana/BRjMA8UALNp3diTKHfdeAn5riQrYPoaYez7KhYWD4oEs
